"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-06-04T11:39:45.131-04:00[America/New_York]","0.0","53.79"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-06-04T11:40:39.006-04:00[America/New_York]","0.0","56.63"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-06-04T11:41:35.639-04:00[America/New_York]","0.0","10.96"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-06-04T11:41:46.606-04:00[America/New_York]","0.0","26.35"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-06-04T11:42:12.957-04:00[America/New_York]","0.0","19.28"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-06-04T11:42:32.238-04:00[America/New_York]","0.0","8.21"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-06-04T11:42:40.558-04:00[America/New_York]","0.0","14.77"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-06-04T11:42:55.433-04:00[America/New_York]","0.0","11.33"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-06-04T11:43:06.822-04:00[America/New_York]","0.0","3.79"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-06-04T11:43:44.747-04:00[America/New_York]","0.0","15.95"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-06-04T11:44:00.752-04:00[America/New_York]","0.0","9.33"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-06-04T11:44:10.15-04:00[America/New_York]","0.0","15.28"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-06-04T11:44:25.486-04:00[America/New_York]","0.0","39.39"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-06-04T11:45:04.935-04:00[America/New_York]","0.0","47.98"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-06-04T11:45:52.984-04:00[America/New_York]","0.0","9.03"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-06-04T11:46:02.072-04:00[America/New_York]","0.0","11.02"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-06-04T11:46:13.151-04:00[America/New_York]","0.0","10.1"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-06-04T11:46:23.313-04:00[America/New_York]","0.0","12.63"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-06-04T11:47:16.7-04:00[America/New_York]","0.0","9.71"
"Regression checklist","Sitemap - All links in Sitemap point to the right page","SUCCESS","2018-06-04T11:47:26.473-04:00[America/New_York]","0.0","262.37"
"Regression checklist","Homepage - Footer - All the links in ""Additional Links""","SUCCESS","2018-06-04T11:51:48.847-04:00[America/New_York]","0.0","126.84"
"Regression checklist","Homepage - USA search feeds display results","SUCCESS","2018-06-04T11:53:55.693-04:00[America/New_York]","0.0","8.05"
"Regression checklist","Homepage - Apply Online - Verify the redirection from DAC when RI is cancelled","SUCCESS","2018-06-04T11:54:03.803-04:00[America/New_York]","0.0","9.95"
"Regression checklist","DAC Feed - ensure that the feed is running","SUCCESS","2018-06-04T11:54:54.419-04:00[America/New_York]","0.0","2.52"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-06-04T11:54:57-04:00[America/New_York]","0.0","51.03"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-06-04T11:55:48.03-04:00[America/New_York]","0.0","63.79"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-06-04T11:56:51.818-04:00[America/New_York]","0.0","15.26"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-06-04T11:57:07.077-04:00[America/New_York]","0.0","32.78"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SUCCESS","2018-06-04T11:57:39.856-04:00[America/New_York]","0.0","20.29"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SUCCESS","2018-06-04T11:58:00.143-04:00[America/New_York]","0.0","5.64"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-06-04T11:58:05.84-04:00[America/New_York]","0.0","14.67"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SUCCESS","2018-06-04T11:58:20.578-04:00[America/New_York]","0.0","9.77"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SUCCESS","2018-06-04T11:58:30.402-04:00[America/New_York]","0.0","7.91"
