"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-02-20T10:51:43.759-05:00[America/New_York]","0.0","45.89"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-02-20T10:52:29.652-05:00[America/New_York]","0.0","44.03"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-02-20T10:53:13.688-05:00[America/New_York]","0.0","12.61"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-02-20T10:53:26.301-05:00[America/New_York]","0.0","28.69"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SUCCESS","2018-02-20T10:53:54.996-05:00[America/New_York]","0.0","16.15"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SUCCESS","2018-02-20T10:54:11.147-05:00[America/New_York]","0.0","3.67"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-02-20T10:54:14.875-05:00[America/New_York]","0.0","67.68"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SUCCESS","2018-02-20T10:55:22.607-05:00[America/New_York]","0.0","8.62"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SUCCESS","2018-02-20T10:55:31.275-05:00[America/New_York]","0.0","5.85"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-02-20T10:55:37.174-05:00[America/New_York]","0.0","44.9"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-02-20T10:56:22.207-05:00[America/New_York]","0.0","9.48"
"Regression checklist spanish","(Spanish) Address Look-Up - Declared disasters","SUCCESS","2018-02-20T10:56:31.736-05:00[America/New_York]","0.0","8.37"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SUCCESS","2018-02-20T10:56:40.158-05:00[America/New_York]","0.0","14.02"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-02-20T10:56:54.231-05:00[America/New_York]","0.0","24.36"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-02-20T10:57:18.644-05:00[America/New_York]","0.0","33.74"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SUCCESS","2018-02-20T10:57:52.437-05:00[America/New_York]","0.0","9.83"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-02-20T10:58:02.322-05:00[America/New_York]","0.0","35.49"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-02-20T10:58:37.912-05:00[America/New_York]","0.0","33.6"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-02-20T10:59:11.561-05:00[America/New_York]","0.0","32.17"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-02-20T10:59:43.78-05:00[America/New_York]","0.0","43.63"
