"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-05T11:50:19.973-05:00[America/New_York]","0.0","52.63"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-03-05T11:51:12.708-05:00[America/New_York]","0.0","85.28"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-05T11:52:37.992-05:00[America/New_York]","0.0","12.72"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-05T11:52:50.719-05:00[America/New_York]","0.0","29.42"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-03-05T11:53:20.142-05:00[America/New_York]","0.0","14.6"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-03-05T11:53:34.739-05:00[America/New_York]","0.0","4.18"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-05T11:53:38.974-05:00[America/New_York]","0.0","9.56"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-03-05T11:53:48.583-05:00[America/New_York]","0.0","9.22"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-03-05T11:53:57.852-05:00[America/New_York]","0.0","3.39"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-03-05T11:54:01.295-05:00[America/New_York]","0.0","31.17"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-05T11:54:32.462-05:00[America/New_York]","0.0","11.74"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-03-05T11:54:44.253-05:00[America/New_York]","0.0","10.63"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-03-05T11:54:54.933-05:00[America/New_York]","0.0","14.71"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-05T11:55:09.691-05:00[America/New_York]","0.0","25.32"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-03-05T11:55:35.058-05:00[America/New_York]","0.0","30.72"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-05T11:56:05.835-05:00[America/New_York]","0.0","5.36"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-05T11:56:11.248-05:00[America/New_York]","0.0","49.42"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-05T11:57:00.726-05:00[America/New_York]","0.0","10.41"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-03-05T11:57:11.189-05:00[America/New_York]","0.0","48.81"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-03-05T11:58:00.058-05:00[America/New_York]","0.0","10.73"
"Regression checklist","Homepage - ""Apply Online"" DAC page includes mobile flag","SKIPPED","2018-03-05T11:58:10.84-05:00[America/New_York]","0.0","10.16"
"Regression checklist","Homepage - ""Check Status"" DAC page includes mobile flag","SKIPPED","2018-03-05T11:58:21.005-05:00[America/New_York]","0.0","10.13"
