"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-02-27T19:36:23.582-05:00[America/New_York]","0.0","95.66"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-02-27T19:37:59.244-05:00[America/New_York]","0.0","82.87"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-02-27T19:39:22.118-05:00[America/New_York]","0.0","17.27"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-02-27T19:39:39.393-05:00[America/New_York]","0.0","37.43"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SUCCESS","2018-02-27T19:40:16.828-05:00[America/New_York]","0.0","17.6"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SUCCESS","2018-02-27T19:40:34.428-05:00[America/New_York]","0.0","5.1"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-02-27T19:40:39.584-05:00[America/New_York]","0.0","12.39"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SUCCESS","2018-02-27T19:40:52.029-05:00[America/New_York]","0.0","9.31"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SUCCESS","2018-02-27T19:41:01.39-05:00[America/New_York]","0.0","29.2"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-02-27T19:42:20.78-05:00[America/New_York]","0.0","14.04"
"Regression checklist spanish","(Spanish) Address Look-Up - Declared disasters","SUCCESS","2018-02-27T19:42:34.87-05:00[America/New_York]","0.0","13.58"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SUCCESS","2018-02-27T19:42:48.506-05:00[America/New_York]","0.0","24.69"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-02-27T19:43:13.246-05:00[America/New_York]","0.0","29.38"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-02-27T19:43:42.679-05:00[America/New_York]","0.0","38.19"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SUCCESS","2018-02-27T19:44:20.92-05:00[America/New_York]","0.0","7.63"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-02-27T19:44:28.607-05:00[America/New_York]","0.0","17.79"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-02-27T19:44:46.446-05:00[America/New_York]","0.0","8.94"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-02-27T19:44:55.442-05:00[America/New_York]","0.0","8.37"
