"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-04-26T10:44:52.85-04:00[America/New_York]","0.0","36.51"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-04-26T10:45:29.424-04:00[America/New_York]","0.0","43.09"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-04-26T10:46:12.521-04:00[America/New_York]","0.0","10.47"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-04-26T10:46:22.987-04:00[America/New_York]","0.0","23.66"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-04-26T10:46:46.644-04:00[America/New_York]","0.0","12.57"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-04-26T10:46:59.219-04:00[America/New_York]","0.0","4.95"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-04-26T10:47:04.227-04:00[America/New_York]","0.0","11.04"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-04-26T10:47:15.325-04:00[America/New_York]","0.0","8.15"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-04-26T10:47:23.531-04:00[America/New_York]","0.0","2.04"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-04-26T10:47:25.63-04:00[America/New_York]","0.0","24.95"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-04-26T10:47:50.584-04:00[America/New_York]","0.0","11.52"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-04-26T10:48:02.157-04:00[America/New_York]","0.0","8.96"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-04-26T10:48:11.172-04:00[America/New_York]","0.0","13.14"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-04-26T10:48:24.363-04:00[America/New_York]","0.0","24.21"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-04-26T10:48:48.623-04:00[America/New_York]","0.0","30.17"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-04-26T10:49:18.847-04:00[America/New_York]","0.0","4.3"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-04-26T10:49:23.201-04:00[America/New_York]","0.0","6.74"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-04-26T10:49:29.999-04:00[America/New_York]","0.0","6.76"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-04-26T10:49:36.811-04:00[America/New_York]","0.0","6.56"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SKIPPED","2018-04-26T10:49:43.421-04:00[America/New_York]","0.0","20.5"
"Regression checklist","Homepage - ""Apply Online"" DAC page includes mobile flag","SKIPPED","2018-04-26T10:50:03.929-04:00[America/New_York]","0.0","10.03"
"Regression checklist","Homepage - ""Check Status"" DAC page includes mobile flag","SKIPPED","2018-04-26T10:50:13.967-04:00[America/New_York]","0.0","10.25"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-04-26T10:50:24.225-04:00[America/New_York]","0.0","13.84"
"Regression checklist","Sitemap - All links in Sitemap point to the right page","SUCCESS","2018-04-26T10:50:38.118-04:00[America/New_York]","0.0","138.9"
"Regression checklist","Homepage - Footer - All the links in ""Additional Links""","SUCCESS","2018-04-26T10:52:57.027-04:00[America/New_York]","0.0","63.44"
"Regression checklist","Homepage - USA search feeds display results","SUCCESS","2018-04-26T10:54:00.473-04:00[America/New_York]","0.0","3.35"
"Regression checklist","Homepage - Apply Online - Verify the redirection from DAC when RI is cancelled","SUCCESS","2018-04-26T10:54:03.881-04:00[America/New_York]","0.0","4.98"
