"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-26T11:28:30.631-04:00[America/New_York]","0.0","74.7"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-03-26T11:29:45.478-04:00[America/New_York]","0.0","51.63"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-26T11:30:37.11-04:00[America/New_York]","0.0","14.49"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-26T11:30:51.599-04:00[America/New_York]","0.0","32.31"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","FAILURE","2018-03-26T11:31:23.913-04:00[America/New_York]","0.0","42.33"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-03-26T11:32:06.562-04:00[America/New_York]","0.0","6.54"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-26T11:32:13.154-04:00[America/New_York]","0.0","22.15"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-03-26T11:32:35.362-04:00[America/New_York]","0.0","10.47"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-03-26T11:32:45.883-04:00[America/New_York]","0.0","4.06"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-03-26T11:32:49.994-04:00[America/New_York]","0.0","33.11"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-26T11:33:23.107-04:00[America/New_York]","0.0","14.98"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-03-26T11:33:38.139-04:00[America/New_York]","0.0","12.3"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-03-26T11:33:50.496-04:00[America/New_York]","0.0","16.65"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-26T11:34:07.201-04:00[America/New_York]","0.0","25.02"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-03-26T11:34:32.275-04:00[America/New_York]","0.0","34.81"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-26T11:35:07.193-04:00[America/New_York]","0.0","5.42"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-26T11:35:12.664-04:00[America/New_York]","0.0","8.16"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-26T11:35:20.879-04:00[America/New_York]","0.0","9.56"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-03-26T11:35:30.496-04:00[America/New_York]","0.0","8.35"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-03-26T11:35:38.895-04:00[America/New_York]","0.0","7.12"
"Regression checklist","Homepage - ""Apply Online"" DAC page includes mobile flag","SKIPPED","2018-03-26T11:35:46.072-04:00[America/New_York]","0.0","10.16"
"Regression checklist","Homepage - ""Check Status"" DAC page includes mobile flag","SKIPPED","2018-03-26T11:35:56.238-04:00[America/New_York]","0.0","10.12"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-03-26T11:36:06.364-04:00[America/New_York]","0.0","7.76"
"Regression checklist","Sitemap - All links in Sitemap point to the right page","SKIPPED","2018-03-26T11:36:14.182-04:00[America/New_York]","0.0","168.61"
"Regression checklist","Verify external feeds within DisasterAssistance.gov","SKIPPED","2018-03-26T11:39:02.807-04:00[America/New_York]","0.0","0.01"
