"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-06T10:23:11.518-05:00[America/New_York]","0.0","69.99"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-03-06T10:24:21.573-05:00[America/New_York]","0.0","30.93"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-06T10:24:52.509-05:00[America/New_York]","0.0","7.19"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-06T10:24:59.698-05:00[America/New_York]","0.0","48.16"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-03-06T10:25:47.856-05:00[America/New_York]","0.0","53.65"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-03-06T10:26:41.506-05:00[America/New_York]","0.0","8.72"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-06T10:26:50.282-05:00[America/New_York]","0.0","10.75"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-03-06T10:27:01.085-05:00[America/New_York]","0.0","8.99"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-03-06T10:27:10.13-05:00[America/New_York]","0.0","2.81"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-03-06T10:27:12.992-05:00[America/New_York]","0.0","16.38"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-06T10:27:29.374-05:00[America/New_York]","0.0","8.11"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-03-06T10:27:37.541-05:00[America/New_York]","0.0","9.74"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-03-06T10:27:47.335-05:00[America/New_York]","0.0","13.94"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-06T10:28:01.33-05:00[America/New_York]","0.0","26.44"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-03-06T10:28:27.822-05:00[America/New_York]","0.0","30.18"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-06T10:28:58.054-05:00[America/New_York]","0.0","9.84"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-06T10:29:07.942-05:00[America/New_York]","0.0","7.83"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-06T10:29:15.822-05:00[America/New_York]","0.0","8.67"
