"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-05-29T12:06:28.979-04:00[America/New_York]","0.0","54.46"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-05-29T12:07:23.513-04:00[America/New_York]","0.0","56.69"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-05-29T12:08:20.218-04:00[America/New_York]","0.0","14.49"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-05-29T12:08:34.711-04:00[America/New_York]","0.0","33.6"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-05-29T12:09:08.31-04:00[America/New_York]","0.0","22.75"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-05-29T12:09:31.06-04:00[America/New_York]","0.0","8.61"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-05-29T12:09:39.743-04:00[America/New_York]","0.0","12.0"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-05-29T12:09:51.795-04:00[America/New_York]","0.0","9.26"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-05-29T12:10:01.113-04:00[America/New_York]","0.0","3.74"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-05-29T12:10:04.913-04:00[America/New_York]","0.0","34.45"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-05-29T12:10:39.362-04:00[America/New_York]","0.0","18.69"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-05-29T12:10:58.102-04:00[America/New_York]","0.0","51.07"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-05-29T12:11:49.232-04:00[America/New_York]","0.0","14.91"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-05-29T12:12:04.199-04:00[America/New_York]","0.0","39.25"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-05-29T12:12:43.509-04:00[America/New_York]","0.0","49.66"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-05-29T12:13:33.269-04:00[America/New_York]","0.0","6.46"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-05-29T12:13:39.785-04:00[America/New_York]","0.0","9.94"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-05-29T12:13:49.789-04:00[America/New_York]","0.0","9.77"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-05-29T12:13:59.618-04:00[America/New_York]","0.0","10.71"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SKIPPED","2018-05-29T12:14:10.379-04:00[America/New_York]","0.0","20.07"
"Regression checklist","Homepage - ""Apply Online"" DAC page includes mobile flag","SKIPPED","2018-05-29T12:14:30.449-04:00[America/New_York]","0.0","10.02"
"Regression checklist","Homepage - ""Check Status"" DAC page includes mobile flag","SKIPPED","2018-05-29T12:14:40.476-04:00[America/New_York]","0.0","10.03"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-05-29T12:14:50.51-04:00[America/New_York]","0.0","16.6"
"Regression checklist","Sitemap - All links in Sitemap point to the right page","SUCCESS","2018-05-29T12:15:07.169-04:00[America/New_York]","0.0","304.2"
"Regression checklist","Homepage - Footer - All the links in ""Additional Links""","FAILURE","2018-05-29T12:20:11.377-04:00[America/New_York]","0.0","143.34"
"Regression checklist","Homepage - USA search feeds display results","SUCCESS","2018-05-29T12:22:34.893-04:00[America/New_York]","0.0","7.04"
"Regression checklist","Homepage - Apply Online - Verify the redirection from DAC when RI is cancelled","SUCCESS","2018-05-29T12:22:42.071-04:00[America/New_York]","0.0","9.35"
"Regression checklist","Address Look-up - check zip codes","SKIPPED","2018-05-29T12:22:51.429-04:00[America/New_York]","0.0","48.79"
"Regression checklist","DAC Feed - ensure that the feed is running","SUCCESS","2018-05-29T12:23:40.222-04:00[America/New_York]","0.0","3.85"
