"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SKIPPED","2018-02-06T16:04:15.677-05:00[America/New_York]","0.0","43.01"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SKIPPED","2018-02-06T16:04:58.693-05:00[America/New_York]","0.0","40.86"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SKIPPED","2018-02-06T16:05:39.557-05:00[America/New_York]","0.0","24.28"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SKIPPED","2018-02-06T16:06:03.842-05:00[America/New_York]","0.0","26.36"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SKIPPED","2018-02-06T16:06:30.208-05:00[America/New_York]","0.0","28.37"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SKIPPED","2018-02-06T16:06:58.578-05:00[America/New_York]","0.0","10.13"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SKIPPED","2018-02-06T16:07:08.712-05:00[America/New_York]","0.0","10.13"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SKIPPED","2018-02-06T16:07:18.84-05:00[America/New_York]","0.0","14.14"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SKIPPED","2018-02-06T16:07:32.981-05:00[America/New_York]","0.0","10.12"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","SKIPPED","2018-02-06T16:07:43.106-05:00[America/New_York]","0.0","36.49"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SKIPPED","2018-02-06T16:08:19.601-05:00[America/New_York]","0.0","20.34"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SKIPPED","2018-02-06T16:08:39.947-05:00[America/New_York]","0.0","13.17"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SKIPPED","2018-02-06T16:08:53.123-05:00[America/New_York]","0.0","28.35"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","SKIPPED","2018-02-06T16:09:21.477-05:00[America/New_York]","0.0","50.67"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SKIPPED","2018-02-06T16:10:12.147-05:00[America/New_York]","0.0","10.16"
