"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-07T13:52:44.242-05:00[America/New_York]","0.0","32.06"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-03-07T13:53:16.309-05:00[America/New_York]","0.0","44.29"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-07T13:54:00.604-05:00[America/New_York]","0.0","8.22"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-07T13:54:08.828-05:00[America/New_York]","0.0","20.06"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SUCCESS","2018-03-07T13:54:28.886-05:00[America/New_York]","0.0","15.67"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SUCCESS","2018-03-07T13:54:44.56-05:00[America/New_York]","0.0","4.57"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-07T13:54:49.181-05:00[America/New_York]","0.0","9.33"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SUCCESS","2018-03-07T13:54:58.564-05:00[America/New_York]","0.0","9.5"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SUCCESS","2018-03-07T13:55:08.117-05:00[America/New_York]","0.0","5.32"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-03-07T13:55:13.491-05:00[America/New_York]","0.0","51.4"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-07T13:56:05.062-05:00[America/New_York]","0.0","10.49"
"Regression checklist spanish","(Spanish) Address Look-Up - Declared disasters","SUCCESS","2018-03-07T13:56:15.604-05:00[America/New_York]","0.0","10.26"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SUCCESS","2018-03-07T13:56:25.921-05:00[America/New_York]","0.0","14.35"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-07T13:56:40.322-05:00[America/New_York]","0.0","24.2"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","ERROR","2018-03-07T13:57:04.572-05:00[America/New_York]","0.0","102.7"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-07T13:58:47.361-05:00[America/New_York]","0.0","7.53"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-07T13:58:54.939-05:00[America/New_York]","0.0","8.83"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-07T13:59:03.825-05:00[America/New_York]","0.0","8.23"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-03-07T13:59:12.11-05:00[America/New_York]","0.0","8.58"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-03-07T13:59:20.741-05:00[America/New_York]","0.0","6.61"
