"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-02-13T10:29:06.573-05:00[America/New_York]","0.0","61.16"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-02-13T10:30:07.802-05:00[America/New_York]","0.0","62.97"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-02-13T10:31:10.781-05:00[America/New_York]","0.0","14.58"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-02-13T10:31:25.366-05:00[America/New_York]","0.0","32.44"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-02-13T10:31:57.812-05:00[America/New_York]","0.0","16.74"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-02-13T10:32:14.552-05:00[America/New_York]","0.0","4.81"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-02-13T10:32:19.417-05:00[America/New_York]","0.0","68.59"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-02-13T10:33:28.063-05:00[America/New_York]","0.0","10.82"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-02-13T10:33:38.931-05:00[America/New_York]","0.0","4.3"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-02-13T10:33:43.287-05:00[America/New_York]","0.0","34.38"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-02-13T10:34:17.67-05:00[America/New_York]","0.0","11.02"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-02-13T10:34:28.748-05:00[America/New_York]","0.0","15.5"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-02-13T10:34:44.297-05:00[America/New_York]","0.0","26.23"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-02-13T10:35:10.582-05:00[America/New_York]","0.0","31.4"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-02-13T10:35:42.032-05:00[America/New_York]","0.0","6.21"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-02-13T10:35:48.302-05:00[America/New_York]","0.0","37.65"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-02-13T10:36:26.004-05:00[America/New_York]","0.0","68.9"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-02-13T10:37:34.958-05:00[America/New_York]","0.0","35.2"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-02-13T10:38:10.212-05:00[America/New_York]","0.0","39.35"
"Regression checklist","Homepage - ""Apply Online"" DAC page includes mobile string","SKIPPED","2018-02-13T10:38:49.617-05:00[America/New_York]","0.0","10.04"
"Regression checklist","Homepage - ""Check Status"" DAC page includes mobile string","SKIPPED","2018-02-13T10:38:59.666-05:00[America/New_York]","0.0","10.26"
"Regression checklist","Homepage - ""Apply Online"" from the questionnaire DAC page includes mobile string","SKIPPED","2018-02-13T10:39:09.932-05:00[America/New_York]","0.0","38.22"
