"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-02T12:44:36.801-05:00[America/New_York]","0.0","46.78"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","FAILURE","2018-03-02T12:45:23.58-05:00[America/New_York]","0.0","203.21"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-02T12:48:47.044-05:00[America/New_York]","0.0","9.67"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-02T12:48:56.719-05:00[America/New_York]","0.0","26.84"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SUCCESS","2018-03-02T12:49:23.555-05:00[America/New_York]","0.0","18.44"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SUCCESS","2018-03-02T12:49:41.994-05:00[America/New_York]","0.0","4.63"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-02T12:49:46.681-05:00[America/New_York]","0.0","9.71"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SUCCESS","2018-03-02T12:49:56.449-05:00[America/New_York]","0.0","10.12"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SUCCESS","2018-03-02T12:50:06.624-05:00[America/New_York]","0.0","5.88"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-03-02T12:50:12.56-05:00[America/New_York]","0.0","33.43"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-02T12:50:45.995-05:00[America/New_York]","0.0","9.69"
"Regression checklist spanish","(Spanish) Address Look-Up - Declared disasters","SUCCESS","2018-03-02T12:50:55.739-05:00[America/New_York]","0.0","8.24"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SUCCESS","2018-03-02T12:51:04.031-05:00[America/New_York]","0.0","16.11"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-02T12:51:20.197-05:00[America/New_York]","0.0","53.88"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-03-02T12:52:14.125-05:00[America/New_York]","0.0","34.08"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-02T12:52:48.253-05:00[America/New_York]","0.0","6.42"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-02T12:52:54.729-05:00[America/New_York]","0.0","7.26"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-02T12:53:02.038-05:00[America/New_York]","0.0","7.22"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-03-02T12:53:09.313-05:00[America/New_York]","0.0","36.47"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the next seven types","ERROR","2018-03-02T12:53:45.846-05:00[America/New_York]","0.0","5.23"
