"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-22T09:51:04.458-04:00[America/New_York]","0.0","40.96"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-03-22T09:51:45.419-04:00[America/New_York]","0.0","46.79"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-22T09:52:32.21-04:00[America/New_York]","0.0","9.59"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-22T09:52:41.796-04:00[America/New_York]","0.0","24.48"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SUCCESS","2018-03-22T09:53:06.28-04:00[America/New_York]","0.0","13.92"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SUCCESS","2018-03-22T09:53:20.2-04:00[America/New_York]","0.0","3.36"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-22T09:53:23.609-04:00[America/New_York]","0.0","11.55"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SUCCESS","2018-03-22T09:53:35.218-04:00[America/New_York]","0.0","8.81"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SUCCESS","2018-03-22T09:53:44.08-04:00[America/New_York]","0.0","5.27"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-03-22T09:53:49.399-04:00[America/New_York]","0.0","47.6"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-22T09:54:37.004-04:00[America/New_York]","0.0","8.85"
"Regression checklist spanish","(Spanish) Address Look-Up - Declared disasters","SUCCESS","2018-03-22T09:54:45.912-04:00[America/New_York]","0.0","9.06"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SUCCESS","2018-03-22T09:54:55.027-04:00[America/New_York]","0.0","13.97"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-22T09:55:09.05-04:00[America/New_York]","0.0","24.04"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-03-22T09:55:33.144-04:00[America/New_York]","0.0","32.05"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-22T09:56:05.247-04:00[America/New_York]","0.0","5.12"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-22T09:56:10.418-04:00[America/New_York]","0.0","10.54"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-22T09:56:21.013-04:00[America/New_York]","0.0","8.45"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-03-22T09:56:29.513-04:00[America/New_York]","0.0","9.09"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-03-22T09:56:38.654-04:00[America/New_York]","0.0","9.46"
"Regression checklist spanish","(Spanish) Community Leaders - Type keyword into search bar","SUCCESS","2018-03-22T09:56:48.165-04:00[America/New_York]","0.0","8.0"
"Regression checklist spanish","(Spanish) Sitemap - All links in Sitemap point to the right page","FAILURE","2018-03-22T09:56:56.214-04:00[America/New_York]","0.0","186.22"
