"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-16T16:29:50.111-04:00[America/New_York]","0.0","45.38"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-03-16T16:30:35.573-04:00[America/New_York]","0.0","38.94"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-16T16:31:14.519-04:00[America/New_York]","0.0","12.53"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-16T16:31:27.048-04:00[America/New_York]","0.0","22.19"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-03-16T16:31:49.24-04:00[America/New_York]","0.0","12.42"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-03-16T16:32:01.658-04:00[America/New_York]","0.0","2.83"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-16T16:32:04.544-04:00[America/New_York]","0.0","9.28"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-03-16T16:32:13.88-04:00[America/New_York]","0.0","8.5"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-03-16T16:32:22.436-04:00[America/New_York]","0.0","2.53"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-03-16T16:32:25.019-04:00[America/New_York]","0.0","22.6"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-16T16:32:47.62-04:00[America/New_York]","0.0","10.21"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-03-16T16:32:57.881-04:00[America/New_York]","0.0","6.59"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-03-16T16:33:04.527-04:00[America/New_York]","0.0","13.22"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-16T16:33:17.798-04:00[America/New_York]","0.0","24.31"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-03-16T16:33:42.161-04:00[America/New_York]","0.0","29.12"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-16T16:34:11.337-04:00[America/New_York]","0.0","4.26"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-16T16:34:15.651-04:00[America/New_York]","0.0","7.25"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-16T16:34:22.952-04:00[America/New_York]","0.0","7.13"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-03-16T16:34:30.134-04:00[America/New_York]","0.0","6.92"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","ERROR","2018-03-16T16:34:37.107-04:00[America/New_York]","0.0","3.36"
"Regression checklist","Homepage - ""Apply Online"" DAC page includes mobile flag","SKIPPED","2018-03-16T16:34:40.699-04:00[America/New_York]","0.0","10.09"
"Regression checklist","Homepage - ""Check Status"" DAC page includes mobile flag","SKIPPED","2018-03-16T16:34:50.791-04:00[America/New_York]","0.0","10.05"
