"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Find Assistance - Benefits results display according to use cases","FAILURE","2018-04-18T12:20:10.588-04:00[America/New_York]","0.0","18.35"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","ERROR","2018-04-18T12:20:56.598-04:00[America/New_York]","0.0","29.55"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","FAILURE","2018-04-18T12:21:39.714-04:00[America/New_York]","0.0","6.54"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","FAILURE","2018-04-18T12:21:46.366-04:00[America/New_York]","0.0","7.8"
"Regression checklist","Homepage - USA search feeds display results","FAILURE","2018-04-18T12:26:06.639-04:00[America/New_York]","0.0","11.22"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-04-18T12:29:39.186-04:00[America/New_York]","0.0","47.07"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","FAILURE","2018-04-18T12:30:51.295-04:00[America/New_York]","0.0","19.46"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","ERROR","2018-04-18T12:31:37.02-04:00[America/New_York]","0.0","28.87"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","FAILURE","2018-04-18T12:32:19.049-04:00[America/New_York]","0.0","6.82"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","FAILURE","2018-04-18T12:32:25.942-04:00[America/New_York]","0.0","7.34"
"Regression checklist spanish","(Spanish) Homepage - USA search feeds display results","FAILURE","2018-04-18T12:36:23-04:00[America/New_York]","0.0","12.03"
