"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-06-08T10:59:30.986-04:00[America/New_York]","0.0","54.37"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-06-08T11:00:25.355-04:00[America/New_York]","0.0","60.08"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-06-08T11:01:25.435-04:00[America/New_York]","0.0","10.65"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-06-08T11:01:36.09-04:00[America/New_York]","0.0","29.75"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SUCCESS","2018-06-08T11:02:05.839-04:00[America/New_York]","0.0","23.16"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SUCCESS","2018-06-08T11:02:29.004-04:00[America/New_York]","0.0","5.36"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-06-08T11:02:34.417-04:00[America/New_York]","0.0","14.24"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SUCCESS","2018-06-08T11:02:48.707-04:00[America/New_York]","0.0","11.41"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SUCCESS","2018-06-08T11:03:00.17-04:00[America/New_York]","0.0","8.41"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-06-08T11:03:08.683-04:00[America/New_York]","0.0","42.03"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-06-08T11:03:50.833-04:00[America/New_York]","0.0","19.13"
"Regression checklist spanish","(Spanish) Address Look-Up - Declared disasters","SUCCESS","2018-06-08T11:04:10.013-04:00[America/New_York]","0.0","12.47"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SUCCESS","2018-06-08T11:04:22.553-04:00[America/New_York]","0.0","15.92"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-06-08T11:04:38.535-04:00[America/New_York]","0.0","41.38"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-06-08T11:05:19.991-04:00[America/New_York]","0.0","51.08"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SUCCESS","2018-06-08T11:06:11.136-04:00[America/New_York]","0.0","9.61"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-06-08T11:06:20.803-04:00[America/New_York]","0.0","13.31"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-06-08T11:06:34.176-04:00[America/New_York]","0.0","12.52"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-06-08T11:06:46.769-04:00[America/New_York]","0.0","11.82"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-06-08T11:06:58.668-04:00[America/New_York]","0.0","16.04"
"Regression checklist spanish","(Spanish) Community Leaders - Type keyword into search bar","SUCCESS","2018-06-08T11:07:14.777-04:00[America/New_York]","0.0","12.5"
"Regression checklist spanish","(Spanish) Sitemap - All links in Sitemap point to the right page","SUCCESS","2018-06-08T11:07:27.338-04:00[America/New_York]","0.0","374.24"
"Regression checklist spanish","(Spanish) Homepage - Footer - All the links in ""Additional Links""","SKIPPED","2018-06-08T11:13:41.585-04:00[America/New_York]","0.0","46.49"
"Regression checklist spanish","(Spanish) Homepage - USA search feeds display results","SUCCESS","2018-06-08T11:14:28.086-04:00[America/New_York]","0.0","7.04"
"Regression checklist spanish","(Spanish) Homepage - Apply Online - Verify the redirection from DAC when RI is cancelled","SUCCESS","2018-06-08T11:14:35.238-04:00[America/New_York]","0.0","12.7"
