"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-04-30T12:54:11.345-04:00[America/New_York]","0.0","49.39"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-04-30T12:55:00.847-04:00[America/New_York]","0.0","45.24"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-04-30T12:55:46.091-04:00[America/New_York]","0.0","9.94"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-04-30T12:55:56.035-04:00[America/New_York]","0.0","28.26"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-04-30T12:56:24.301-04:00[America/New_York]","0.0","17.71"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-04-30T12:56:42.011-04:00[America/New_York]","0.0","3.89"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-04-30T12:56:45.951-04:00[America/New_York]","0.0","10.2"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-04-30T12:56:56.21-04:00[America/New_York]","0.0","11.83"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-04-30T12:57:08.095-04:00[America/New_York]","0.0","3.81"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-04-30T12:57:11.958-04:00[America/New_York]","0.0","35.86"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-04-30T12:58:19.552-04:00[America/New_York]","0.0","14.42"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-04-30T12:58:34.024-04:00[America/New_York]","0.0","34.36"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-04-30T12:59:08.446-04:00[America/New_York]","0.0","40.16"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-04-30T12:59:48.662-04:00[America/New_York]","0.0","6.01"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-04-30T12:59:54.726-04:00[America/New_York]","0.0","7.42"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-04-30T13:00:02.198-04:00[America/New_York]","0.0","7.56"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-04-30T13:00:09.815-04:00[America/New_York]","0.0","6.39"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-04-30T13:00:56.755-04:00[America/New_York]","0.0","9.15"
"Regression checklist","Sitemap - All links in Sitemap point to the right page","SUCCESS","2018-04-30T13:01:05.962-04:00[America/New_York]","0.0","222.46"
"Regression checklist","Homepage - Footer - All the links in ""Additional Links""","SUCCESS","2018-04-30T13:04:48.42-04:00[America/New_York]","0.0","107.17"
"Regression checklist","Homepage - USA search feeds display results","SUCCESS","2018-04-30T13:06:35.595-04:00[America/New_York]","0.0","7.89"
"Regression checklist","Homepage - Apply Online - Verify the redirection from DAC when RI is cancelled","SUCCESS","2018-04-30T13:06:43.542-04:00[America/New_York]","0.0","6.14"
