"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-01-31T13:29:32.176-05:00[America/New_York]","0.0","82.5"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-01-31T13:30:54.752-05:00[America/New_York]","0.0","67.14"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-01-31T13:32:01.894-05:00[America/New_York]","0.0","11.55"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-01-31T13:32:13.448-05:00[America/New_York]","0.0","32.48"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-01-31T13:32:45.926-05:00[America/New_York]","0.0","20.34"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-01-31T13:33:06.269-05:00[America/New_York]","0.0","4.39"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-01-31T13:33:10.711-05:00[America/New_York]","0.0","8.74"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-01-31T13:33:19.506-05:00[America/New_York]","0.0","9.49"
"Regression checklist","News Feeds - All of the titles on the page","ERROR","2018-01-31T13:33:29.048-05:00[America/New_York]","0.0","10.49"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-01-31T13:33:39.776-05:00[America/New_York]","0.0","28.36"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-01-31T13:34:08.132-05:00[America/New_York]","0.0","12.26"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-01-31T13:34:20.442-05:00[America/New_York]","0.0","18.89"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-01-31T13:34:39.384-05:00[America/New_York]","0.0","26.46"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-01-31T13:35:05.893-05:00[America/New_York]","0.0","33.55"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-01-31T13:35:39.493-05:00[America/New_York]","0.0","7.05"
